Problem,Nº Books,Time (ms),Easy action templates,Hard action templates,States Evaluated
Problem1,1,58.0308,12,0,13
Problem2,3,54.4204,0,96,53
Problem3,5,59.9655,0,192,141
Problem4,10,153.0825,0,432,1357
Problem5,15,4355.6077,0,672,26465
